Index,BasePrice,Name,Count,TotalTrades,,,Region,,,,,,,,,,,
10012,193000,Kalis Longsword,12,,,,NA,,,,,,,,,,,
10005,18000,Azwell Longsword,5,,,,,,,,,,,,,,,
10057,37400,Rosar Longsword,308,,,,,,,,,,,,,,,
10007,172000,Seleth Longsword,40,,,,,,,,,,,,,,,
715001,620000000,Blackstar Longsword,2,,,,,,,,,,,,,,,
10014,103000,Yuria Longsword,28,,,,,,,,How to use Warflash's public price sheets,,,,,,,Img for step 1)
10071,12700,Styd Longsword,0,,,,,,,,,,,,,,,
10010,102000000,Kzarka Longsword,25,,,,1) a) Copy this sheet to another spreadsheet. ,,,,,,,,,,,
10013,46300,Bares Longsword,20,,,,    b) Rename the copied sheet to 'Prices' (after copying it will be called 'Copy of Prices').,,,,,,,,,,,
10056,34200,Krea Longsword,42,,,,2) Start looking up prices: See 'Look-up examples' tab at the bottom of the sheet.,,,,,,,,,,,
10086,118000000,Offin Tett's Radiant Longsword,8,,,,,,,,,,,,,,,
10009,1730000,Liverto Longsword,18,,,,Please use one of the lookup methods shown in the example tab. Direct references (e.g. =Prices!$B$2) will break over time.,,,,,,,,,,,
10006,276000,Ain Longsword,2,,,,,,,,,,,,,,,
10072,14200,Ultimate Styd Longsword,0,,,,Contact for questions about the price sheets and price fetching: warflash#1781.,,,,,,,,,,,
10003,9300,Elsh Longsword,2,,,,Contact for questions about this guide: Summer#8727.,,,,,,,,,,,
10205,18000,Azwell Longbow,10,,,,,,,,,,,,,,,
10212,193000,Kalis Longbow,28,,,,"To view the ongoing discussion about market APIs, check out the dev-talk channel in the lifeskill Discord:",,,,,,,,,,,
10206,276000,Ain Longbow,1,,,,https://discord.gg/j4xvqJV,,,,,,,,,,,
10272,14200,Ultimate Styd Longbow,0,,,,,,,,,,,,,,,
10213,46300,Bares Longbow,27,,,,,,,,,,,,,,,Img for step 2)
10256,34200,Krea Longbow,43,,,,,,,,,,,,,,,
10286,118000000,Offin Tett's Radiant Longbow,1,,,,,,,,,,,,,,,
10203,9300,Elsh Longbow,3,,,,,,,,,,,,,,,
715003,620000000,Blackstar Longbow,3,,,,,,,,,,,,,,,
10209,1730000,Liverto Longbow,23,,,,Feel free to delete the boxes above once you copied this sheet and got everything working.,,,,,,,,,,,
10207,172000,Seleth Longbow,40,,,,Please leave this box here.,,,,,,,,,,,
10214,103000,Yuria Longbow,31,,,,Link to the API guide.,,,,,,,,,,,
10257,37400,Rosar Longbow,109,,,,,,,,,,,,,,,
10271,12700,Styd Longbow,10,,,,,,,,,,,,,,,
10210,102000000,Kzarka Longbow,13,,,,,,,,,,,,,,,
10486,118000000,Offin Tett's Radiant Amulet,10,,,,,,,,,,,,,,,
10403,9300,Elsh Amulet,4,,,,,,,,,,,,,,,
10413,46300,Bares Amulet,34,,,,,,,,,,,,,,,
10456,34200,Krea Amulet,6,,,,,,,,,,,,,,,
10406,276000,Ain Amulet,3,,,,,,,,,,,,,,,
10472,14200,Ultimate Styd Amulet,0,,,,,,,,,,,,,,,
10412,193000,Kalis Amulet,6,,,,,,,,,,,,,,,
10409,1730000,Liverto Amulet,31,,,,,,,,,,,,,,,
10410,102000000,Kzarka Amulet,20,,,,,,,,,,,,,,,
10405,18000,Azwell Amulet,26,,,,,,,,,,,,,,,
715005,620000000,Blackstar Amulet,6,,,,,,,,,,,,,,,
10407,172000,Seleth Amulet,90,,,,,,,,,,,,,,,
10414,103000,Yuria Amulet,26,,,,,,,,,,,,,,,
10457,37400,Rosar Amulet,166,,,,,,,,,,,,,,,
10471,12700,Styd Amulet,0,,,,,,,,,,,,,,,
715007,620000000,Blackstar Axe,1,,,,,,,,,,,,,,,
10603,9300,Elsh Axe,10,,,,,,,,,,,,,,,
10605,18000,Azwell Axe,13,,,,,,,,,,,,,,,
10606,276000,Ain Axe,4,,,,,,,,,,,,,,,
10672,14200,Ultimate Styd Axe,1,,,,,,,,,,,,,,,
10609,1730000,Liverto Axe,27,,,,,,,,,,,,,,,
10607,172000,Seleth Axe,72,,,,,,,,,,,,,,,
10614,103000,Yuria Axe,52,,,,,,,,,,,,,,,
10657,37400,Rosar Axe,127,,,,,,,,,,,,,,,
10671,12700,Styd Axe,0,,,,,,,,,,,,,,,
10686,118000000,Offin Tett's Radiant Axe,1,,,,,,,,,,,,,,,
10613,46300,Bares Axe,21,,,,,,,,,,,,,,,
10656,34200,Krea Axe,343,,,,,,,,,,,,,,,
10610,102000000,Kzarka Axe,4,,,,,,,,,,,,,,,
10612,193000,Kalis Axe,9,,,,,,,,,,,,,,,
13286,118000000,Offin Tett's Radiant Shortsword,4,,,,,,,,,,,,,,,
13206,276000,Ain Shortsword,0,,,,,,,,,,,,,,,
13207,172000,Seleth Shortsword,55,,,,,,,,,,,,,,,
13214,103000,Yuria Shortsword,23,,,,,,,,,,,,,,,
13271,12700,Styd Shortsword,29,,,,,,,,,,,,,,,
13257,37400,Rosar Shortsword,124,,,,,,,,,,,,,,,
13210,102000000,Kzarka Shortsword,29,,,,,,,,,,,,,,,
13272,14200,Ultimate Styd Shortsword,1,,,,,,,,,,,,,,,
13203,9300,Elsh Shortsword,8,,,,,,,,,,,,,,,
13205,18000,Azwell Shortsword,33,,,,,,,,,,,,,,,
13212,193000,Kalis Shortsword,14,,,,,,,,,,,,,,,
13209,1730000,Liverto Shortsword,11,,,,,,,,,,,,,,,
13213,46300,Bares Shortsword,39,,,,,,,,,,,,,,,
13256,34200,Krea Shortsword,123,,,,,,,,,,,,,,,
715009,620000000,Blackstar Shortsword,5,,,,,,,,,,,,,,,
13372,14200,Ultimate Styd Blade,0,,,,,,,,,,,,,,,
13307,172000,Seleth Blade,12,,,,,,,,,,,,,,,
13314,103000,Yuria Blade,47,,,,,,,,,,,,,,,
13371,12700,Styd Blade,16,,,,,,,,,,,,,,,
13305,18000,Azwell Blade,14,,,,,,,,,,,,,,,
13312,193000,Kalis Blade,31,,,,,,,,,,,,,,,
13303,9300,Elsh Blade,13,,,,,,,,,,,,,,,
13386,118000000,Offin Tett's Radiant Blade,2,,,,,,,,,,,,,,,
13310,102000000,Kzarka Blade,29,,,,,,,,,,,,,,,
13309,1730000,Liverto Blade,22,,,,,,,,,,,,,,,
13357,37400,Rosar Blade,762,,,,,,,,,,,,,,,
13313,46300,Bares Blade,66,,,,,,,,,,,,,,,
13356,34200,Krea Blade,164,,,,,,,,,,,,,,,
715011,620000000,Blackstar Blade,5,,,,,,,,,,,,,,,
13306,276000,Ain Blade,13,,,,,,,,,,,,,,,
14406,276000,Ain Staff,0,,,,,,,,,,,,,,,
14472,14200,Ultimate Styd Staff,0,,,,,,,,,,,,,,,
14471,12700,Styd Staff,11,,,,,,,,,,,,,,,
14486,118000000,Offin Tett's Radiant Staff,8,,,,,,,,,,,,,,,
14412,193000,Kalis Staff,9,,,,,,,,,,,,,,,
14410,102000000,Kzarka Staff,28,,,,,,,,,,,,,,,
14413,46300,Bares Staff,106,,,,,,,,,,,,,,,
715013,620000000,Blackstar Staff,7,,,,,,,,,,,,,,,
14457,37400,Rosar Staff,230,,,,,,,,,,,,,,,
14403,9300,Elsh Staff,10,,,,,,,,,,,,,,,
14405,18000,Azwell Staff,48,,,,,,,,,,,,,,,
14456,34200,Krea Staff,103,,,,,,,,,,,,,,,
14407,172000,Seleth Staff,36,,,,,,,,,,,,,,,
14409,1730000,Liverto Staff,83,,,,,,,,,,,,,,,
14414,103000,Yuria Staff,29,,,,,,,,,,,,,,,
11360,102000000,Kzarka Kriegsmesser,16,,,,,,,,,,,,,,,
11363,46300,Bares Kriegsmesser,19,,,,,,,,,,,,,,,
11364,103000,Yuria Kriegsmesser,39,,,,,,,,,,,,,,,
11362,193000,Kalis Kriegsmesser,15,,,,,,,,,,,,,,,
11355,18000,Azwell Kriegsmesser,35,,,,,,,,,,,,,,,
11356,276000,Ain Kriegsmesser,15,,,,,,,,,,,,,,,
715016,620000000,Blackstar Kriegsmesser,4,,,,,,,,,,,,,,,
11357,172000,Seleth Kriegsmesser,14,,,,,,,,,,,,,,,
11371,37400,Rosar Kriegsmesser,501,,,,,,,,,,,,,,,
11372,12700,Styd Kriegsmesser,37,,,,,,,,,,,,,,,
11436,118000000,Offin Tett's Radiant Kriegsmesser,0,,,,,,,,,,,,,,,
11370,34200,Krea Kriegsmesser,447,,,,,,,,,,,,,,,
11359,1730000,Liverto Kriegsmesser,13,,,,,,,,,,,,,,,
11373,14200,Ultimate Styd Kriegsmesser,0,,,,,,,,,,,,,,,
11353,9300,Elsh Kriegsmesser,37,,,,,,,,,,,,,,,
11223,14200,Ultimate Styd Gauntlet,99,,,,,,,,,,,,,,,
11206,276000,Ain Gauntlet,0,,,,,,,,,,,,,,,
11220,34200,Krea Gauntlet,749,,,,,,,,,,,,,,,
11287,118000000,Offin Tett's Radiant Gauntlet,6,,,,,,,,,,,,,,,
11209,1730000,Liverto Gauntlet,30,,,,,,,,,,,,,,,
11221,37400,Rosar Gauntlet,107,,,,,,,,,,,,,,,
11222,12700,Styd Gauntlet,47,,,,,,,,,,,,,,,
11214,103000,Yuria Gauntlet,58,,,,,,,,,,,,,,,
11213,46300,Bares Gauntlet,63,,,,,,,,,,,,,,,
11210,102000000,Kzarka Gauntlet,32,,,,,,,,,,,,,,,
11212,193000,Kalis Gauntlet,29,,,,,,,,,,,,,,,
11203,9300,Elsh Gauntlet,28,,,,,,,,,,,,,,,
715017,620000000,Blackstar Gauntlet,6,,,,,,,,,,,,,,,
11205,18000,Azwell Gauntlet,17,,,,,,,,,,,,,,,
11207,172000,Seleth Gauntlet,18,,,,,,,,,,,,,,,
13410,102000000,Kzarka Crescent Pendulum,26,,,,,,,,,,,,,,,
13407,172000,Seleth Crescent Pendulum,40,,,,,,,,,,,,,,,
13414,103000,Yuria Crescent Pendulum,85,,,,,,,,,,,,,,,
13422,12700,Styd Crescent Pendulum,400,,,,,,,,,,,,,,,
13421,37400,Rosar Crescent Pendulum,1531,,,,,,,,,,,,,,,
